station_en,station_az,line,latitude,longitude,depth_m,avg_daily_passengers,exits,gross_heat_kw,recoverable_heat_kw,annual_mwh,annual_co2_tons,homes_heated
Koroglu,Koroğlu,Red Line,40.420514142857144,49.917811285714286,20,180000,7,99000.02,74250.01,325215.1,65043.0,32522
28 May,28 May,Red Line,40.381211,49.847822,45,140000,2,60900.0,45675.0,200056.5,40011.3,20006
Elmler Akademiyasi,Elmlər Akademiyası,Green Line,40.375192399999996,49.8127428,65,105000,5,41580.0,31185.0,136590.3,27318.1,13659
Ganjlik,Gənclik,Red Line,40.40040716666666,49.851419,25,115000,6,34500.0,25875.0,113332.5,22666.5,11333
Nariman Narimanov,Nəriman Nərimanov,Red Line,40.40267475,49.87020275,25,112000,4,33600.0,25200.0,110376.0,22075.2,11038
20 Yanvar,20 Yanvar,Green Line,40.403652571428566,49.80757185714286,25,110000,7,33000.03,24750.02,108405.1,21681.0,10841
Sahil,Sahil,Red Line,40.371751,49.844644,40,95000,1,31920.0,23940.0,104857.2,20971.4,10486
Icherisheher,İçərişəhər,Red Line,40.365899,49.831529,40,88000,1,29568.0,22176.0,97130.9,19426.2,9713
Neftchilar,Neftçilər,Red Line,40.41066883333333,49.942929166666666,20,98000,6,28224.0,21168.0,92715.8,18543.2,9272
Insahatchilar,İnşaatçılar,Green Line,40.390191,49.80264675,25,92000,4,27600.0,20700.0,90666.0,18133.2,9067
Shah Ismail Khatai,Şah İsmayıl Xətai,Green Line,40.383066,49.871971,45,78000,1,27144.0,20358.0,89168.0,17833.6,8917
Memar Ajami,Memar Əcəmi,Green Line,40.411137749999995,49.81498925,15,95000,4,26220.0,19665.0,86132.7,17226.5,8613
Gara Garayev,Qara Qarayev,Red Line,40.41761283333333,49.9337505,20,88000,6,25344.0,19008.0,83255.0,16651.0,8326
Akhmedli,Əhmədli,Red Line,40.38515475,49.9539775,20,85000,4,24480.0,18360.0,80416.8,16083.4,8042
Khalglar Dostlughu,Xalqlar Dostluğu,Red Line,40.3976875,49.952399,20,82000,4,23616.0,17712.0,77578.6,15515.7,7758
Nizami,Nizami,Green Line,40.37919,49.830063,40,68000,1,22848.0,17136.0,75055.7,15011.1,7506
Jafar Jabbarly,Cəfər Cabbarlı,Green Line,40.3795965,49.848969,45,65000,2,22620.0,16965.0,74306.7,14861.3,7431
Hazi Aslanov,Həzi Aslanov,Red Line,40.3732098,49.953522,20,72000,5,20736.0,15552.0,68117.8,13623.6,6812
Azadliq prospekti,Azadlıq prospekti,Green Line,40.42558525,49.84183125,20,64000,4,18432.0,13824.0,60549.1,12109.8,6055
Memar Ajami 2,Memar Əcəmi 2,Purple Line,40.410540999999995,49.8128195,25,55000,2,16500.0,12375.0,54202.5,10840.5,5420
8 Novabr,8 Noyabr,Purple Line,40.401998999999996,49.82057625,20,52000,4,14976.0,11232.0,49196.2,9839.2,4920
Avtovaghzal,Avtovağzal,Purple Line,40.42096675,49.79564175,25,42000,4,12600.0,9450.0,41391.0,8278.2,4139
Nasimi,Nəsimi,Green Line,40.424457000000004,49.825326749999995,20,42000,4,12096.0,9072.0,39735.4,7947.1,3974
Ulduz,Ulduz,Red Line,40.41478575,49.891472,20,42000,4,12096.0,9072.0,39735.4,7947.1,3974
Darnagul,Dərnəgül,Green Line,40.42527825,49.86171125,20,38000,4,10944.0,8208.0,35951.0,7190.2,3595
Bakmil,Bakmil,Red Line,40.414152,49.879007,0,32000,1,7680.0,5760.0,25228.8,5045.8,2523
Khojasan,Xocəsən,Purple Line,40.421499,49.778066,0,18000,1,4320.0,3240.0,14191.2,2838.2,1419
